station_id,file,size_bytes,size_human,present
02512099999,02512099999.csv,5986564,5.71 MiB,True
02513099999,02513099999.csv,1662638,1.59 MiB,True
02514099999,02514099999.csv,5957008,5.68 MiB,True
02516099999,02516099999.csv,409858,400.25 KiB,True
02518099999,02518099999.csv,1473271,1.41 MiB,True
02520099999,02520099999.csv,8333481,7.95 MiB,True
02526099999,02526099999.csv,6327152,6.03 MiB,True
02531099999,02531099999.csv,1073806,1.02 MiB,True
02536099999,02536099999.csv,394352,385.11 KiB,True
02539099999,02539099999.csv,379871,370.97 KiB,True
02540099999,02540099999.csv,363131,354.62 KiB,True
02542099999,02542099999.csv,401569,392.16 KiB,True
02544099999,02544099999.csv,367595,358.98 KiB,True
02545099999,02545099999.csv,330168,322.43 KiB,True
02546099999,02546099999.csv,411211,401.57 KiB,True
02548099999,02548099999.csv,297557,290.58 KiB,True
02549099999,02549099999.csv,374825,366.04 KiB,True
02550099999,02550099999.csv,7919064,7.55 MiB,True
02552099999,02552099999.csv,367815,359.19 KiB,True
02554099999,02554099999.csv,381000,372.07 KiB,True
02556099999,02556099999.csv,3671020,3.50 MiB,True
02557099999,02557099999.csv,393285,384.07 KiB,True
02558099999,02558099999.csv,414458,404.74 KiB,True
02559099999,02559099999.csv,284242,277.58 KiB,True
02561099999,02561099999.csv,251894,245.99 KiB,True
02562099999,02562099999.csv,8310061,7.93 MiB,True
02562599999,02562599999.csv,5881394,5.61 MiB,True
02563099999,02563099999.csv,1964030,1.87 MiB,True
02563599999,02563599999.csv,6537942,6.24 MiB,True
02565099999,02565099999.csv,1984240,1.89 MiB,True
02567099999,02567099999.csv,409705,400.10 KiB,True
02571099999,02571099999.csv,6089216,5.81 MiB,True
02573099999,02573099999.csv,1084332,1.03 MiB,True
02574099999,02574099999.csv,411320,401.68 KiB,True
02575099999,02575099999.csv,397639,388.32 KiB,True
02587099999,02587099999.csv,377253,368.41 KiB,True
02589099999,02589099999.csv,734994,717.77 KiB,True
02590099999,02590099999.csv,7780810,7.42 MiB,True
02598099999,02598099999.csv,239343,233.73 KiB,True
02604099999,02604099999.csv,6598692,6.29 MiB,True
02605099999,02605099999.csv,272922,266.53 KiB,True
02611099999,02611099999.csv,346199,338.08 KiB,True
02615099999,02615099999.csv,2006849,1.91 MiB,True
02618099999,02618099999.csv,1649089,1.57 MiB,True
02622099999,02622099999.csv,355573,347.24 KiB,True
02623099999,02623099999.csv,372103,363.38 KiB,True
02625099999,02625099999.csv,383994,374.99 KiB,True
02628099999,02628099999.csv,367659,359.04 KiB,True
02629099999,02629099999.csv,363393,354.88 KiB,True
02632099999,02632099999.csv,224162,218.91 KiB,True
02633099999,02633099999.csv,1052754,1.00 MiB,True
02635099999,02635099999.csv,1147648,1.09 MiB,True
02636099999,02636099999.csv,5981507,5.70 MiB,True
02641099999,02641099999.csv,6186715,5.90 MiB,True
02643099999,02643099999.csv,1063280,1.01 MiB,True
02644099999,02644099999.csv,414115,404.41 KiB,True
02648099999,02648099999.csv,338627,330.69 KiB,True
02651099999,02651099999.csv,6188992,5.90 MiB,True
02661099999,02661099999.csv,354577,346.27 KiB,True
02664099999,02664099999.csv,7970736,7.60 MiB,True
02665099999,02665099999.csv,1079069,1.03 MiB,True
02667099999,02667099999.csv,356262,347.91 KiB,True
02670099999,02670099999.csv,264323,258.13 KiB,True
02672099999,02672099999.csv,5895397,5.62 MiB,True
02679099999,02679099999.csv,1943305,1.85 MiB,True
02701099999,02701099999.csv,2342544,2.23 MiB,True
02702099999,02702099999.csv,2802737,2.67 MiB,True
02704099999,02704099999.csv,2450390,2.34 MiB,True
02705099999,02705099999.csv,2363434,2.25 MiB,True
02706099999,02706099999.csv,2300338,2.19 MiB,True
02708099999,02708099999.csv,2717406,2.59 MiB,True
02710099999,02710099999.csv,2081138,1.98 MiB,True
02714099999,02714099999.csv,3133033,2.99 MiB,True
02717099999,02717099999.csv,2994422,2.86 MiB,True
02718099999,02718099999.csv,3112530,2.97 MiB,True
02719099999,02719099999.csv,2225882,2.12 MiB,True
02720099999,02720099999.csv,9220104,8.79 MiB,True
02721099999,02721099999.csv,2719332,2.59 MiB,True
02722099999,02722099999.csv,2422420,2.31 MiB,True
02724099999,02724099999.csv,3105702,2.96 MiB,True
02725099999,02725099999.csv,2365337,2.26 MiB,True
02726099999,02726099999.csv,3204370,3.06 MiB,True
02727099999,02727099999.csv,2801628,2.67 MiB,True
02732099999,02732099999.csv,2635805,2.51 MiB,True
02733099999,02733099999.csv,2267263,2.16 MiB,True
02734099999,02734099999.csv,3077821,2.94 MiB,True
02735099999,02735099999.csv,2385975,2.28 MiB,True
02736099999,02736099999.csv,2664177,2.54 MiB,True
02737099999,02737099999.csv,2496098,2.38 MiB,True
02738099999,02738099999.csv,3220682,3.07 MiB,True
02739099999,02739099999.csv,3969332,3.79 MiB,True
02741099999,02741099999.csv,3915719,3.73 MiB,True
02743099999,02743099999.csv,1996768,1.90 MiB,True
02745099999,02745099999.csv,3071452,2.93 MiB,True
02746099999,02746099999.csv,2744137,2.62 MiB,True
02747099999,02747099999.csv,2634181,2.51 MiB,True
02750099999,02750099999.csv,2237717,2.13 MiB,True
02751099999,02751099999.csv,3681386,3.51 MiB,True
02752099999,02752099999.csv,2351660,2.24 MiB,True
02753099999,02753099999.csv,3476019,3.31 MiB,True
02754099999,02754099999.csv,3711525,3.54 MiB,True
02755099999,02755099999.csv,3313620,3.16 MiB,True
02756099999,02756099999.csv,1936858,1.85 MiB,True
02757099999,02757099999.csv,3054219,2.91 MiB,True
