station_id,file,size_bytes,size_human,present
01076099999,01076099999.csv,1499816,1.43 MiB,True
01078099999,01078099999.csv,284492,277.82 KiB,True
01082099999,01082099999.csv,833137,813.61 KiB,True
01083099999,01083099999.csv,6457093,6.16 MiB,True
01084099999,01084099999.csv,1967420,1.88 MiB,True
01086099999,01086099999.csv,6625269,6.32 MiB,True
01087599999,01087599999.csv,6481085,6.18 MiB,True
01087699999,01087699999.csv,6534616,6.23 MiB,True
01087799999,01087799999.csv,6600514,6.29 MiB,True
01087899999,01087899999.csv,6499838,6.20 MiB,True
01087999999,01087999999.csv,6491435,6.19 MiB,True
01088099999,01088099999.csv,6390289,6.09 MiB,True
01088299999,01088299999.csv,6129005,5.85 MiB,True
01088699999,01088699999.csv,6456903,6.16 MiB,True
01088799999,01088799999.csv,6532153,6.23 MiB,True
01089099999,01089099999.csv,7237673,6.90 MiB,True
01092099999,01092099999.csv,645133,630.01 KiB,True
01098099999,01098099999.csv,1248615,1.19 MiB,True
01099099999,01099099999.csv,6908064,6.59 MiB,True
01102099999,01102099999.csv,256829,250.81 KiB,True
01102599999,01102599999.csv,6063076,5.78 MiB,True
01105099999,01105099999.csv,315646,308.25 KiB,True
01107099999,01107099999.csv,6904974,6.59 MiB,True
01108099999,01108099999.csv,2084449,1.99 MiB,True
01112099999,01112099999.csv,6489826,6.19 MiB,True
01114099999,01114099999.csv,1180567,1.13 MiB,True
01115099999,01115099999.csv,582695,569.04 KiB,True
01116099999,01116099999.csv,4252053,4.06 MiB,True
01117099999,01117099999.csv,1914441,1.83 MiB,True
01121099999,01121099999.csv,670671,654.95 KiB,True
01122099999,01122099999.csv,8313564,7.93 MiB,True
01124099999,01124099999.csv,136175,132.98 KiB,True
01132099999,01132099999.csv,1567577,1.49 MiB,True
01133099999,01133099999.csv,111855,109.23 KiB,True
01135099999,01135099999.csv,757594,739.84 KiB,True
01139099999,01139099999.csv,499737,488.02 KiB,True
01141099999,01141099999.csv,6058703,5.78 MiB,True
01143099999,01143099999.csv,689624,673.46 KiB,True
01144099999,01144099999.csv,556188,543.15 KiB,True
01146099999,01146099999.csv,152396,148.82 KiB,True
01147099999,01147099999.csv,1674507,1.60 MiB,True
01148099999,01148099999.csv,121313,118.47 KiB,True
01150099999,01150099999.csv,738308,721.00 KiB,True
01151099999,01151099999.csv,6343530,6.05 MiB,True
01152099999,01152099999.csv,8303348,7.92 MiB,True
01156099999,01156099999.csv,1512843,1.44 MiB,True
01158099999,01158099999.csv,132270,129.17 KiB,True
01160099999,01160099999.csv,237388,231.82 KiB,True
01161099999,01161099999.csv,5979404,5.70 MiB,True
01162099999,01162099999.csv,6738792,6.43 MiB,True
01169099999,01169099999.csv,1494250,1.43 MiB,True
01180099999,01180099999.csv,715331,698.57 KiB,True
01183099999,01183099999.csv,6458832,6.16 MiB,True
01192099999,01192099999.csv,618378,603.88 KiB,True
01198099999,01198099999.csv,138240,135.00 KiB,True
01199099999,01199099999.csv,2583067,2.46 MiB,True
01203099999,01203099999.csv,1405603,1.34 MiB,True
01205099999,01205099999.csv,651078,635.82 KiB,True
01209099999,01209099999.csv,6898142,6.58 MiB,True
01210099999,01210099999.csv,6732512,6.42 MiB,True
01212099999,01212099999.csv,1183038,1.13 MiB,True
01214099999,01214099999.csv,113990,111.32 KiB,True
01217099999,01217099999.csv,6344425,6.05 MiB,True
01218099999,01218099999.csv,1248097,1.19 MiB,True
01220099999,01220099999.csv,289980,283.18 KiB,True
01221099999,01221099999.csv,113512,110.85 KiB,True
01223099999,01223099999.csv,6944862,6.62 MiB,True
01224099999,01224099999.csv,147579,144.12 KiB,True
01225099999,01225099999.csv,646488,631.34 KiB,True
01227099999,01227099999.csv,878996,858.39 KiB,True
01228099999,01228099999.csv,642514,627.46 KiB,True
