lead,corruption,severity,type_acc,type_conf,type_entropy,loc_iou,router_moisture,router_hydrostatic,router_advection,router_spectral
72,moisture,0.25,0.0,0.9757716655731201,0.08136704564094543,0.0,1.0602817468452486e-07,0.9999998807907104,7.030695028673823e-19,7.087875564384472e-15
72,moisture,0.5,0.0,0.9753656983375549,0.08252884447574615,0.0,1.0534694183661486e-07,0.9999998807907104,6.886693223785998e-19,6.988201385832796e-15
72,moisture,1.0,0.0,0.9748036861419678,0.08407904207706451,0.0,1.0349853596380854e-07,0.9999998807907104,6.573285863423078e-19,6.723985128046341e-15
72,moisture,2.0,0.0,0.9797149896621704,0.07028171420097351,8.22884903755039e-05,1.0130633398830469e-07,0.9999998807907104,9.35901303159088e-19,9.140361332941362e-15
72,hydrostatic,0.25,0.0,0.9781819581985474,0.07483543455600739,0.00012939958833158016,8.755739600019297e-08,0.9999999403953552,7.28915743383579e-19,7.058173083539579e-15
72,hydrostatic,0.5,0.0,0.9809937477111816,0.06671731173992157,0.007505127228796482,6.500555116417672e-08,1.0,6.307870488224719e-19,5.799957309403098e-15
72,hydrostatic,1.0,0.0,0.9873068332672119,0.04792160540819168,0.8168041706085205,2.295205803193312e-08,1.0,2.2598109045854155e-19,1.977855389640208e-15
72,hydrostatic,2.0,0.0,0.992679238319397,0.029180334880948067,0.9594812393188477,1.4171330775525348e-09,1.0,4.548801493851563e-21,3.0727033369046003e-17
72,advection,0.25,0.0,0.9760609865188599,0.08058437705039978,0.0024409310426563025,1.0638404290830294e-07,0.9999998807907104,7.056940435534365e-19,7.107873588752672e-15
72,advection,0.5,0.0,0.9759585857391357,0.08088189363479614,7.856693991925567e-05,1.0651041293385788e-07,0.9999998807907104,7.069396741583648e-19,7.12082472251619e-15
72,advection,1.0,0.0,0.9754398465156555,0.08221907913684845,0.0,1.0955450591154658e-07,0.9999998807907104,7.052559997203014e-19,7.182332019981062e-15
72,advection,2.0,0.0,0.9760631322860718,0.08040735125541687,0.00045931636122986674,1.0673341677147619e-07,0.9999998807907104,6.987977353890053e-19,7.095250680256215e-15
72,spectral,0.25,0.0,0.9760853052139282,0.0805089920759201,3.591954009607434e-05,1.062503187654329e-07,0.9999998807907104,7.13035168092268e-19,7.154462094917553e-15
72,spectral,0.5,0.0,0.9760852456092834,0.0805094838142395,1.7725467841955833e-05,1.062503187654329e-07,0.9999998807907104,7.13035168092268e-19,7.154462094917553e-15
72,spectral,1.0,0.0,0.9760873317718506,0.08050420880317688,5.9297912230249494e-05,1.062503187654329e-07,0.9999998807907104,7.13035168092268e-19,7.154462094917553e-15
72,spectral,2.0,0.0,0.976087212562561,0.08050477504730225,1.6787536878837273e-05,1.062503187654329e-07,0.9999998807907104,7.13035168092268e-19,7.154462094917553e-15
72,range_extreme,0.25,1.0,0.9761092662811279,0.08044219762086868,2.6709401936386712e-05,1.062239221027994e-07,0.9999998807907104,7.101325913228194e-19,7.141766765104106e-15
72,range_extreme,0.5,1.0,0.9762445092201233,0.08008353412151337,0.0,1.0503723046895175e-07,0.9999998807907104,7.03456416598904e-19,7.071023420382374e-15
72,range_extreme,1.0,1.0,0.9764479398727417,0.07953435927629471,0.00014366203686222434,1.0268301764426724e-07,0.9999998807907104,7.05104056981533e-19,7.0795339839199115e-15
