model,lead_hours,corruption,severity,channel_index,channel,repaired_nrmse,corrupted_input_nrmse,repaired_nmae,corrupted_input_nmae,repaired_acc,corrupted_input_acc,repaired_rmse_phys,corrupted_input_rmse_phys
Smart_Final,72,spectral,0.25,47,u_component_of_wind@600hPa,0.4128565876738325,0.4176141921538294,0.3104807892568345,0.31466200427088875,0.9110480164025259,0.9104964935341283,4.237690711301765,4.2865241678313275
Smart_Final,72,spectral,0.25,48,u_component_of_wind@700hPa,0.4278612986148961,0.43171003974339484,0.3222622740112317,0.32522001628882247,0.9067440971121316,0.9063794250787924,3.8829431736389237,3.9178714845851
Smart_Final,72,spectral,0.25,49,u_component_of_wind@850hPa,0.4513433659471615,0.45675524330841577,0.32898729919285635,0.33393971644238907,0.896909947411833,0.8958157364571804,3.632867339244354,3.6764275733476857
Smart_Final,72,spectral,0.25,50,u_component_of_wind@925hPa,0.46162563480912006,0.4675262307289995,0.32444938666564394,0.3303475730027416,0.8903804985994408,0.8888292122743571,3.593659033088436,3.639593697292684
Smart_Final,72,spectral,0.25,51,u_component_of_wind@1000hPa,0.47244444664407875,0.4799344533886178,0.3371510327528909,0.34375969778854465,0.8850630620403298,0.881653762359765,2.8459572023644633,2.891076219675294
Smart_Final,72,spectral,0.25,52,v_component_of_wind@50hPa,0.4197897324497148,0.4216261935090896,0.31517840734946556,0.3146371156106897,0.8426511510963901,0.8448236823704934,3.057117820546709,3.070491911037115
Smart_Final,72,spectral,0.25,53,v_component_of_wind@100hPa,0.5339417788403255,0.5413845939565393,0.41107027364475984,0.41803913845019686,0.8352939803571422,0.8313707471425366,4.03965744007072,4.09596765733137
Smart_Final,72,spectral,0.25,54,v_component_of_wind@150hPa,0.5537066556729947,0.5668746598752612,0.4235385336118093,0.4343226209556926,0.8445973443786108,0.8386534461264379,5.315391415171526,5.441799705856374
Smart_Final,72,spectral,0.25,55,v_component_of_wind@200hPa,0.5494786139362411,0.5637633099408962,0.4113076147847963,0.42223088686725674,0.8458122103719617,0.839365120188424,6.5152591864554745,6.684635495248331
Smart_Final,72,spectral,0.25,56,v_component_of_wind@250hPa,0.5493975906562905,0.5596006652330601,0.4000594451466713,0.4067424698819247,0.8316681960739425,0.8283271523237004,7.330417491207414,7.466553376080667
Smart_Final,72,spectral,0.25,57,v_component_of_wind@300hPa,0.5544716821786524,0.5641344129816893,0.39733231914373424,0.4046252691943638,0.8139571481946715,0.8092433537299231,7.377652112828388,7.506221608606756
Smart_Final,72,spectral,0.25,58,v_component_of_wind@400hPa,0.5533937628201531,0.5634903758850799,0.39204036943347603,0.39971325440338856,0.805916475529792,0.800528213955867,6.196193488123904,6.309242387069659
Smart_Final,72,spectral,0.25,59,v_component_of_wind@500hPa,0.5518396200987097,0.5587386971538725,0.3951919343163089,0.3994931715317406,0.8082568041958381,0.8055406457423039,5.054116652993259,5.117303049465507
Smart_Final,72,spectral,0.25,60,v_component_of_wind@600hPa,0.5591663762553273,0.5642310566265545,0.4063637867197625,0.4086776331243698,0.804312511870939,0.8028681931951352,4.346067520069398,4.3854324427547935
Smart_Final,72,spectral,0.25,61,v_component_of_wind@700hPa,0.5753579857618559,0.5791577170274891,0.4193901306141973,0.4205532127278664,0.7933203938394365,0.7925967599606573,3.9211735253017332,3.9470692817623294
Smart_Final,72,spectral,0.25,62,v_component_of_wind@850hPa,0.5956192659459209,0.6008369571762616,0.4209996239402012,0.42432619512176933,0.7763501398001684,0.7742288127721515,3.6756880591711893,3.707887488954095
Smart_Final,72,spectral,0.25,63,v_component_of_wind@925hPa,0.5894788600763392,0.5962658854671812,0.40314173725777835,0.40801069959373826,0.7901318007911099,0.7867846911976925,3.748460028754329,3.7916181941329823
Smart_Final,72,spectral,0.25,64,v_component_of_wind@1000hPa,0.5684360836160393,0.5822975206448248,0.3978214898466518,0.41112579040472236,0.814600221231358,0.8050909882380115,2.9594706968080415,3.0316380832042733
Smart_Final,72,spectral,0.25,65,2m_temperature,0.3417706390917602,0.1304195547945086,0.31734003209824857,0.08509088355942197,0.9658894035193355,0.9879823537126438,7.31182430092159,2.790189522163033
Smart_Final,72,spectral,0.25,66,10m_u_component_of_wind,0.46865915924008794,0.4690295621716648,0.3323222065441862,0.3307656731976429,0.884759570848493,0.8853273370243785,2.545835491079105,2.5478476880448224
Smart_Final,72,spectral,0.25,67,10m_v_component_of_wind,0.5649023138548315,0.569851342563543,0.3969597749180898,0.39826281413111275,0.8116027390774884,0.8093492876470543,2.6383491956928387,2.661463389181705
Smart_Final,72,spectral,0.25,68,mean_sea_level_pressure,0.262523645191437,0.27130230369993963,0.1761502183117685,0.18447126711378364,0.9565666383918341,0.9537966507955209,347.3767388146698,358.9928502724129
Smart_Final,72,spectral,0.25,69,surface_pressure,0.0852275835474417,0.15411797496491333,0.06484955144482069,0.09572017582127253,0.9931740803603488,0.9769827766493948,818.1302809661837,1479.4339620268422
Smart_Final,72,spectral,0.25,70,total_precipitation_6hr,1.0892875131588207,1.0994003708070552,0.42211669732139956,0.45955500833350643,0.501693520052288,0.4858369733210584,0.00181702600727519,0.0018338950626492333
Smart_Final,72,spectral,0.5,0,geopotential@50hPa,0.07829385051980865,0.08833989726409779,0.05307200839369732,0.06278365615350484,0.9947763129203302,0.993336619579372,450.78434294797603,508.62542416108914
Smart_Final,72,spectral,0.5,1,geopotential@100hPa,0.0736772554467205,0.080120958443077,0.05443450773452735,0.06002184715672692,0.9965841590222951,0.9959623570983381,401.55970793791454,436.679515801345
Smart_Final,72,spectral,0.5,2,geopotential@150hPa,0.07154513976585156,0.07468320344512926,0.05368245139054236,0.05576306980916297,0.9971619162717579,0.9968584454564504,414.9880235647887,433.18993210050047
Smart_Final,72,spectral,0.5,3,geopotential@200hPa,0.07617583306208228,0.07965704003447822,0.05558812509954132,0.05810839990284234,0.9968537140390232,0.9965320830619707,443.1501919646842,463.40199250216875
Smart_Final,72,spectral,0.5,4,geopotential@250hPa,0.08370935583667387,0.08349505050349365,0.058835627511171266,0.05584768159933012,0.996248629013562,0.9962118699577831,464.2050041300207,463.01657397071585
Smart_Final,72,spectral,0.5,5,geopotential@300hPa,0.09498172460320059,0.09604370347761387,0.06707366084626239,0.06622713678935485,0.9950602995876132,0.9948729774406759,484.91924116010574,490.3410469662032
Smart_Final,72,spectral,0.5,6,geopotential@400hPa,0.10238170514569328,0.10248991316375534,0.07144833891830074,0.06973102136456441,0.9941142561277198,0.9940476289432688,426.32837208251,426.7789511460085
Smart_Final,72,spectral,0.5,7,geopotential@500hPa,0.10538996161960767,0.10174748924207785,0.07292629787238576,0.06636992032965423,0.9937062129693215,0.9940969052800173,354.5148055855025,342.26211055860915
Smart_Final,72,spectral,0.5,8,geopotential@600hPa,0.11623192712493373,0.1106163450517837,0.08106887473959457,0.07340830093413041,0.9922885411139041,0.9929837985732932,314.1249008025089,298.94839230242593
Smart_Final,72,spectral,0.5,9,geopotential@700hPa,0.1331918573690895,0.1273055871028857,0.09304535062782278,0.08535614620736236,0.9898340489651024,0.9906906942609467,284.69609032871415,272.1142652404947
Smart_Final,72,spectral,0.5,10,geopotential@850hPa,0.1740264726783855,0.176482763317243,0.11764793105854442,0.1183199581753323,0.9822261288842405,0.9817854374665168,255.02662061348806,258.6261838865112
Smart_Final,72,spectral,0.5,11,geopotential@925hPa,0.21433780148601272,0.21672489653467225,0.14468119077790578,0.1457175125082496,0.972607805681179,0.9721604620799513,262.01998092905944,264.93812608446063
Smart_Final,72,spectral,0.5,12,geopotential@1000hPa,0.26017272777211625,0.2646314641049358,0.17521757269912394,0.1818485829310399,0.9584677906729467,0.9571026965087724,277.28594912699145,282.03796226474566
Smart_Final,72,spectral,0.5,13,temperature@50hPa,0.1938472508995684,0.21814308957418946,0.14363546089430856,0.1632430643333914,0.9595698161332569,0.9528755394004981,2.002358092123639,2.253323625173989
Smart_Final,72,spectral,0.5,14,temperature@100hPa,0.16155093833363782,0.1695801540447736,0.12519097286030764,0.13196225978914017,0.9847422084549301,0.9835522406832414,2.039504676234258,2.1408698012042393
Smart_Final,72,spectral,0.5,15,temperature@150hPa,0.21672331433157113,0.224890939752853,0.16082883766095066,0.16705078298739562,0.964553383669749,0.9618796827595071,1.93240227756911,2.00522849338961
