model,lead_hours,channel_index,channel,repaired_nrmse,raw_forecast_nrmse,repaired_nmae,raw_forecast_nmae,repaired_acc,raw_forecast_acc,repaired_rmse_phys,raw_forecast_rmse_phys,repaired_mae_phys,raw_forecast_mae_phys
OLD_Full,6,43,u_component_of_wind@250hPa,0.19111705567383103,0.24095518251392026,0.14553731706010642,0.18503976690585053,0.9828347503631949,0.9748438799121403,3.4209292405663883,4.313014507738094,2.6050676831903363,3.312147884873993
OLD_Full,6,44,u_component_of_wind@300hPa,0.19761632482673808,0.25947965143958573,0.14926295943036502,0.19960743785334972,0.9806340506677871,0.967956042120598,3.365852029253967,4.419524059878969,2.542285083365596,3.399765141385545
OLD_Full,6,45,u_component_of_wind@400hPa,0.20145937855692458,0.2692964071123808,0.15260252978977906,0.20686116665580115,0.9792050354113538,0.9641400300629995,2.8727940840005903,3.84014451101038,2.1760994530447206,2.9498231518138933
OLD_Full,6,46,u_component_of_wind@500hPa,0.2007577373773572,0.26664404977196515,0.15315092234486594,0.2058994779708462,0.9797016912447395,0.9661608286848313,2.3920340059464644,3.1770712227832862,1.8247975013877158,2.4532979752919357
OLD_Full,6,47,u_component_of_wind@600hPa,0.20206785837571656,0.28274092122980865,0.15411803264371113,0.21908880895018784,0.9797912169275542,0.9617284681704821,2.0740884628193728,2.9021423275040807,1.5819162765755193,2.248796876765187
OLD_Full,6,48,u_component_of_wind@700hPa,0.210050218095652,0.308314569151159,0.16045799986453127,0.23851999194073442,0.9784663137187429,0.9545708281441048,1.906255764233809,2.798028172623491,1.4561945660392974,2.1646257248875873
OLD_Full,6,49,u_component_of_wind@850hPa,0.22410474152491192,0.3149224688154316,0.16934223980719035,0.24100357915732262,0.9757705361816533,0.9531558714628833,1.8038213601522133,2.534814160570102,1.3630374109281904,1.9398402632822218
OLD_Full,6,50,u_component_of_wind@925hPa,0.22112728724229547,0.3104631788464784,0.16226666129152376,0.23263870052525334,0.9761819833732897,0.9543066677439898,1.7214296224681538,2.416890865429501,1.2632119735240908,1.8110435923630004
OLD_Full,6,51,u_component_of_wind@1000hPa,0.22658970103347434,0.3396122583337925,0.16882225932198996,0.2544853389108091,0.9750813006627523,0.9439826721038812,1.364953275408949,2.045789640609768,1.0169680879765783,1.532993749889709
OLD_Full,6,52,v_component_of_wind@50hPa,0.32354758299698194,0.36795302890786563,0.2532589927555175,0.2837035370584908,0.911661267383251,0.8871225707376688,2.3562345827530207,2.679617154489078,1.844358062352577,2.0660703842727184
OLD_Full,6,53,v_component_of_wind@100hPa,0.32318506948301606,0.4711292031906768,0.24981512556024113,0.3577236429484701,0.9419566509457414,0.8727152000342718,2.445129772038275,3.5644345914934337,1.8900328603798686,2.7064391664244094
OLD_Full,6,54,v_component_of_wind@150hPa,0.27562343980031084,0.4333554885214939,0.21063819271877562,0.32717146642107836,0.9634446939904261,0.9088615260773681,2.645889180245312,4.160061994014599,2.022053405294897,3.1407323467379955
OLD_Full,6,55,v_component_of_wind@200hPa,0.24792689621813474,0.360721099712019,0.18659917449323213,0.2744603441163074,0.9700160324902106,0.9379568753606335,2.9397104532525113,4.277130051848184,2.2125374319968594,3.2543219550689826
OLD_Full,6,56,v_component_of_wind@250hPa,0.2371205818375218,0.31387692177746224,0.17814377005245,0.23895701603414324,0.970322823357019,0.9517691609737445,3.1638158990636494,4.187948534677414,2.376909203228962,3.188318809330234
OLD_Full,6,57,v_component_of_wind@300hPa,0.24186543138378094,0.3151256566491003,0.18112390295606623,0.23905873990503623,0.9667227661190452,0.9453266131558689,3.218196779898504,4.192977774953733,2.4099862217282007,3.1808516596834053
OLD_Full,6,58,v_component_of_wind@400hPa,0.2527363554862291,0.32042385228777764,0.18933686243206194,0.24154538094428935,0.9620611891095591,0.9405972888588261,2.829817525088047,3.5876952900001418,2.1199513239321366,2.7045153071738577
OLD_Full,6,59,v_component_of_wind@500hPa,0.2543617546323721,0.32287344395480244,0.19173340470603056,0.24613063892041334,0.9617358052710139,0.941880604807712,2.3296152435218453,2.957091152861144,1.7560228853745974,2.2542292055765647
OLD_Full,6,60,v_component_of_wind@600hPa,0.2651339556752731,0.3457970838857488,0.20118089125675465,0.26513629806894484,0.9587433982022657,0.9317561816953631,2.0607285162725812,2.6876750258487907,1.5636593946946815,2.0607467136640802
