model,corruption,repaired_nrmse,repaired_nmae,repaired_acc,repaired_rmse_phys_mixed,repaired_mae_phys_mixed,corrupted_input_nrmse,nrmse_improvement_pct,localization_iou,type_accuracy,repair_l1_norm,repaired_phys_moisture,corrupted_input_phys_moisture,era5_target_phys_moisture,physics_improvement_moisture_pct,repaired_phys_hydrostatic,corrupted_input_phys_hydrostatic,era5_target_phys_hydrostatic,physics_improvement_hydrostatic_pct,repaired_phys_advection,corrupted_input_phys_advection,era5_target_phys_advection,physics_improvement_advection_pct,repaired_phys_spectral,corrupted_input_phys_spectral,era5_target_phys_spectral,physics_improvement_spectral_pct
OLD_Full,advection,0.3090194726695929,0.18523440916902445,0.9482627786812817,147.9367366899469,46.13983974057957,0.3560415514860746,14.3750207587924,0.028934013579752598,0.0,0.09106994094327092,0.0003057441263081273,0.0005413693773637837,4.0472938356591236e-05,43.18138651716549,0.00017115785158239305,0.00018803820421453565,5.821020507331317e-05,8.978192039465242,44.1612665951252,33.23082606991132,45.38489031791687,-60.340655683397536,2.0652093986670175,2.073015088836352,0.003148488816805184,0.49468090104489965
OLD_Full,hydrostatic,0.42351509927446207,0.2260272320620088,0.9123290657174756,391.89297139866477,75.28767298735252,0.36212105566556185,-15.505546452537393,0.42685342393906467,0.0,0.1259738397784531,0.0010297302906110417,0.000507072705659084,4.0472938356591236e-05,-101.05284508443191,0.00038708018958762597,0.00022455135149357375,5.821020507331317e-05,-50.62016155186745,56.27228672305743,33.18302901585897,45.38489031791687,-54.378702470250296,2.2802759458621344,2.1879110833009086,0.003148488816805184,-3.6096947687487493
OLD_Full,moisture,0.30924415048845455,0.18559574620590022,0.9478192699747262,149.13992890021524,46.34046018190835,0.35793450719957437,14.734402310865514,0.032427143239544876,0.0,0.0922926189377904,0.000571223238997239,0.0013298427378079698,4.0472938356591236e-05,49.7900543672741,0.00016725718160159886,0.00018402748052418852,5.821020507331317e-05,9.106922170722003,41.181900848944984,33.18302901585897,45.38489031791687,-27.05417248202121,2.0472415685653687,2.072003702322642,0.003148488816805184,1.3405478132656963
OLD_Full,range_extreme,0.3214773314337228,0.18951174989236808,0.9431795460291191,232.70119835176573,50.97155101451721,0.36492631791088465,12.957390180317384,0.05355462496784943,1.0,0.09310216161732872,0.00035051084644995473,0.0005320774253050331,4.0472938356591236e-05,34.31269764321858,0.0011938604736011864,0.0012155498213057097,5.821020507331317e-05,3.853551008861851,84.6709673901399,66.3806533018748,45.38489031791687,-33.51431195240268,5.621500253677368,5.686254372199376,0.003148488816805184,1.359822242227854
OLD_Full,spectral,0.30646595751173367,0.18380345006441912,0.9489984218081081,147.13704737847348,45.98406516908025,0.35296769360279784,14.36892878478305,0.025757554109873126,0.0,0.09057215011368196,0.00028454708262870554,0.0005070727214236589,4.0472938356591236e-05,43.42079051867981,0.00016675932905248678,0.00018402748052418852,5.821020507331317e-05,9.377626201391449,41.41928446292877,33.183028926452,45.38489031791687,-28.345662741668136,2.0483915309111276,2.0720037122567496,0.003148488816805184,1.286434713060294
Smart_Final,advection,0.3120763127255974,0.19083614270695945,0.947326256414098,154.3729558851176,48.36009157831902,0.3560415514860746,13.493449008057029,8.494622117420173e-06,0.0,0.1020126836374402,0.0001501803247568508,0.0005413693773637837,4.0472938356591236e-05,72.35445570483567,7.92924796163182e-05,0.00018803820421453565,5.821020507331317e-05,57.848640883240954,2.9066935827334723,33.23082606991132,45.38489031791687,75.1870782349872,1.1494217664003372,2.073015088836352,0.003148488816805184,44.54288640699577
Smart_Final,hydrostatic,0.32202151067605106,0.197564084294493,0.9442485853720409,200.20663229461343,58.943732172568076,0.36212105566556185,12.120556185356513,0.37574968254284613,0.8359375,0.10668918366233508,0.0001177953636215534,0.000507072705659084,4.0472938356591236e-05,76.64045314884095,0.00010678680367467071,0.00022455135149357375,5.821020507331317e-05,53.70647162871925,2.8762209912141166,33.18302901585897,45.38489031791687,75.97844240010953,1.261101524035136,2.1879110833009086,0.003148488816805184,42.54022205134237
Smart_Final,moisture,0.3129368297544222,0.19131436630831702,0.9466154397577408,154.2333743551569,48.271952596169,0.35793450719957437,13.673936136735081,2.3996233286046238e-05,0.0,0.10251891830315192,0.000709254667829858,0.0013298427378079698,4.0472938356591236e-05,56.26677176920134,7.513421527013027e-05,0.00018402748052418852,5.821020507331317e-05,59.17606719015354,2.798755948742231,33.18302901585897,45.38489031791687,75.9149812472701,1.1387955397367477,2.072003702322642,0.003148488816805184,45.03796820793377
Smart_Final,range_extreme,0.32295782738611517,0.19531324438934725,0.9428383283187348,227.22294856790018,53.349150081662195,0.3649182289618129,12.532914036891077,0.0003433186501903644,0.234375,0.10525776011248429,0.00013709219456359278,0.0005315024997495735,4.0472938356591236e-05,74.24649600222317,0.0009792992274621308,0.0012211376858128158,5.821020507331317e-05,31.82593194358975,7.691839615503947,72.7801142334938,45.38489031791687,75.4518875817962,4.878168066342671,5.686491986115773,0.003148488816805184,19.42088477116444
Smart_Final,spectral,0.3096689016160607,0.18950854575116197,0.9479834834579478,153.7779792820925,48.19782095366376,0.35296769360279784,13.439641920770312,4.66015008745065e-06,0.0,0.10164099962761004,0.00011630065212860548,0.0005070727214236589,4.0472938356591236e-05,76.92579765162952,7.47342479977912e-05,0.00018402748052418852,5.821020507331317e-05,59.39398811890268,2.7833555986483893,33.183028926452,45.38489031791687,76.03970103456872,1.1371072779099147,2.0720037122567496,0.003148488816805184,45.121562982938805
