case,lead_hours,time,raw_nrmse,acc_nrmse,phys_nrmse,acc_gain,phys_gain
L6_C91809_T91810,6,2021-11-03T12:00:00.000000000,0.2841320037841797,0.17834748327732086,0.2004924863576889,0.10578452050685883,0.08363951742649078
L6_C91903_T91904,6,2021-11-27T00:00:00.000000000,0.2822684943675995,0.17678363621234894,0.19847381114959717,0.10548485815525055,0.08379468321800232
L6_C91997_T91998,6,2021-12-20T12:00:00.000000000,0.3134039640426636,0.1930903196334839,0.21792298555374146,0.12031364440917969,0.09548097848892212
L6_C92092_T92093,6,2022-01-13T06:00:00.000000000,0.2916886806488037,0.17933951318264008,0.20517823100090027,0.11234916746616364,0.08651044964790344
L6_C92186_T92187,6,2022-02-05T18:00:00.000000000,0.30145713686943054,0.18926841020584106,0.21449622511863708,0.11218872666358948,0.08696091175079346
L6_C92280_T92281,6,2022-03-01T06:00:00.000000000,0.29157474637031555,0.17920349538326263,0.20475350320339203,0.11237125098705292,0.08682124316692352
L6_C92374_T92375,6,2022-03-24T18:00:00.000000000,0.30005359649658203,0.1839483678340912,0.20994696021080017,0.11610522866249084,0.09010663628578186
L6_C92468_T92469,6,2022-04-17T06:00:00.000000000,0.2854618430137634,0.17499160766601562,0.2000715732574463,0.1104702353477478,0.08539026975631714
L6_C92562_T92563,6,2022-05-10T18:00:00.000000000,0.2970188856124878,0.18490757048130035,0.20915748178958893,0.11211131513118744,0.08786140382289886
L6_C92656_T92657,6,2022-06-03T06:00:00.000000000,0.2839375138282776,0.17464128136634827,0.20006588101387024,0.10929623246192932,0.08387163281440735
L6_C92750_T92751,6,2022-06-26T18:00:00.000000000,0.2897425889968872,0.1826978176832199,0.20732048153877258,0.1070447713136673,0.08242210745811462
L6_C92844_T92845,6,2022-07-20T06:00:00.000000000,0.30774638056755066,0.19771061837673187,0.22297486662864685,0.11003576219081879,0.08477151393890381
L6_C92938_T92939,6,2022-08-12T18:00:00.000000000,0.30359920859336853,0.19194255769252777,0.21865718066692352,0.11165665090084076,0.08494202792644501
L6_C93032_T93033,6,2022-09-05T06:00:00.000000000,0.29690811038017273,0.18759095668792725,0.2148081362247467,0.10931715369224548,0.08209997415542603
L6_C93126_T93127,6,2022-09-28T18:00:00.000000000,0.2839233875274658,0.17891941964626312,0.20358183979988098,0.1050039678812027,0.08034154772758484
L6_C93220_T93221,6,2022-10-22T06:00:00.000000000,0.28452685475349426,0.1751498132944107,0.1990356147289276,0.10937704145908356,0.08549124002456665
L6_C93314_T93315,6,2022-11-14T18:00:00.000000000,0.28697818517684937,0.17962424457073212,0.20280149579048157,0.10735394060611725,0.0841766893863678
L6_C93408_T93409,6,2022-12-08T06:00:00.000000000,0.29572057723999023,0.18229590356349945,0.20817090570926666,0.11342467367649078,0.08754967153072357
L6_C93502_T93503,6,2022-12-31T18:00:00.000000000,0.2914080023765564,0.1807412952184677,0.2040170133113861,0.11066670715808868,0.08739098906517029
L24_C90587_T90591,24,2021-01-02T18:00:00.000000000,0.31473156809806824,0.27315178513526917,0.2860047519207001,0.04157978296279907,0.028726816177368164
L24_C90681_T90685,24,2021-01-26T06:00:00.000000000,0.3090417981147766,0.26597094535827637,0.27954360842704773,0.043070852756500244,0.029498189687728882
L24_C90775_T90779,24,2021-02-18T18:00:00.000000000,0.3207828998565674,0.27599626779556274,0.2891717553138733,0.04478663206100464,0.03161114454269409
L24_C90869_T90873,24,2021-03-14T06:00:00.000000000,0.3010489046573639,0.25830453634262085,0.2714788615703583,0.04274436831474304,0.029570043087005615
L24_C90963_T90967,24,2021-04-06T18:00:00.000000000,0.30061009526252747,0.2647082507610321,0.27672162652015686,0.03590184450149536,0.023888468742370605
