==============================================================================
ConserveFM unified parallel scheduler
==============================================================================
plan rows       : 2
train rows      : 1
eval rows       : 1
max parallel    : 1
GPU             : 0
smoke           : False
==============================================================================

[STATUS 2026-09-12 07:03:40] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=23% RAMavail=55.7/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:42] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=29% RAMavail=55.6/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:44] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=8% RAMavail=55.5/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:46] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.5/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:49] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.6/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:51] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.6/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:53] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=2% RAMavail=55.6/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:55] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=10% RAMavail=55.5/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:57] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=24% RAMavail=55.7/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:59] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=26% RAMavail=55.3/62.8GiB uEMA=17% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:01] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.3/62.8GiB uEMA=18% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:03] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.3/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:05] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.3/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:07] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.5/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:09] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.4/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:11] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.3/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:13] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=55.4/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:15] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=28% RAMavail=55.2/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:17] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.2/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:19] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=21% RAMavail=55.0/62.8GiB uEMA=17% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:21] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=5% RAMavail=55.2/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:23] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.1/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:25] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.3/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:27] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=54.9/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:29] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.1/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:32] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=55.1/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:34] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=55.2/62.8GiB uEMA=6% next≈1.0GiB admission=ADMIT    
